UNIX_Time,UTC_Date,UTC_Time,Latitude,North-South,Longitude,East-West
1645151906.8277555,180222,023823.20,3530.96334138,N,13932.71301522,E
1645151906.9275723,180222,023823.30,3530.96334370,N,13932.71300103,E
1645151907.0285492,180222,023823.40,3530.96334370,N,13932.71300103,E
1645151907.1295488,180222,023823.50,3530.96334502,N,13932.71298656,E
1645151907.2300239,180222,023823.60,3530.96334502,N,13932.71298656,E
1645151907.3310242,180222,023823.70,3530.96334700,N,13932.71297245,E
1645151907.4320233,180222,023823.80,3530.96334700,N,13932.71297245,E
1645151907.5325334,180222,023823.90,3530.96334948,N,13932.71295864,E
1645151907.633532,180222,023824.00,3530.96334948,N,13932.71295864,E
1645151907.7335312,180222,023824.10,3530.96334948,N,13932.71295864,E
1645151907.8346915,180222,023824.20,3530.96335112,N,13932.71294591,E
1645151907.9266906,180222,023824.30,3530.96335425,N,13932.71293251,E
1645151908.026425,180222,023824.40,3530.96335425,N,13932.71293251,E
1645151908.127425,180222,023824.50,3530.96335616,N,13932.71292115,E
1645151908.2274249,180222,023824.60,3530.96335616,N,13932.71292115,E
1645151908.3284237,180222,023824.70,3530.96335746,N,13932.71290952,E
1645151908.4294245,180222,023824.80,3530.96335746,N,13932.71290952,E
1645151908.5300598,180222,023824.90,3530.96335979,N,13932.71289576,E
1645151908.6300602,180222,023825.00,3530.96335979,N,13932.71289576,E
1645151908.7310612,180222,023825.10,3530.96335979,N,13932.71289576,E
1645151908.8312123,180222,023825.20,3530.96336349,N,13932.71288171,E
1645151908.9318242,180222,023825.30,3530.96336567,N,13932.71287164,E
1645151909.032051,180222,023825.40,3530.96336567,N,13932.71287164,E
1645151909.1330526,180222,023825.50,3530.96336779,N,13932.71285901,E
1645151909.2340508,180222,023825.60,3530.96336779,N,13932.71285901,E
1645151909.3350554,180222,023825.70,3530.96337106,N,13932.71284324,E
1645151909.4260511,180222,023825.80,3530.96337106,N,13932.71284324,E
1645151909.5275073,180222,023825.90,3530.96337403,N,13932.71283172,E
1645151909.6275065,180222,023826.00,3530.96337403,N,13932.71283172,E
1645151909.728507,180222,023826.10,3530.96337403,N,13932.71283172,E
1645151909.8286326,180222,023826.20,3530.96337539,N,13932.71282176,E
1645151909.9296324,180222,023826.30,3530.96337804,N,13932.71280772,E
1645151910.0292034,180222,023826.40,3530.96337804,N,13932.71280772,E
1645151910.130201,180222,023826.50,3530.96338073,N,13932.71279104,E
1645151910.2302043,180222,023826.60,3530.96338073,N,13932.71279104,E
1645151910.3311987,180222,023826.70,3530.96338242,N,13932.71277695,E
1645151910.4321969,180222,023826.80,3530.96338242,N,13932.71277695,E
1645151910.532236,180222,023826.90,3530.96338466,N,13932.71276345,E
1645151910.6332319,180222,023827.00,3530.96338466,N,13932.71276345,E
1645151910.7332318,180222,023827.10,3530.96338466,N,13932.71276345,E
1645151910.8347085,180222,023827.20,3530.96338810,N,13932.71275028,E
1645151910.92571,180222,023827.30,3530.96339012,N,13932.71273930,E
1645151911.0266323,180222,023827.40,3530.96339012,N,13932.71273930,E
1645151911.1276321,180222,023827.50,3530.96339097,N,13932.71272721,E
1645151911.227632,180222,023827.60,3530.96339097,N,13932.71272721,E
1645151911.3286324,180222,023827.70,3530.96339204,N,13932.71271355,E
1645151911.428632,180222,023827.80,3530.96339204,N,13932.71271355,E
1645151911.5297139,180222,023827.90,3530.96339628,N,13932.71270028,E
1645151911.6297143,180222,023828.00,3530.96339628,N,13932.71270028,E
1645151911.730714,180222,023828.10,3530.96339628,N,13932.71270028,E
1645151911.8318157,180222,023828.20,3530.96339866,N,13932.71268600,E
1645151911.9316058,180222,023828.30,3530.96339983,N,13932.71267310,E
1645151912.0328472,180222,023828.40,3530.96339983,N,13932.71267310,E
1645151912.1323872,180222,023828.50,3530.96340221,N,13932.71266025,E
1645151912.2333877,180222,023828.60,3530.96340221,N,13932.71266025,E
1645151912.33339,180222,023828.70,3530.96340560,N,13932.71264799,E
1645151912.4343882,180222,023828.80,3530.96340560,N,13932.71264799,E
1645151912.5269785,180222,023828.90,3530.96340901,N,13932.71263611,E
1645151912.6275957,180222,023829.00,3530.96340901,N,13932.71263611,E
1645151912.727712,180222,023829.10,3530.96340901,N,13932.71263611,E
1645151912.8284938,180222,023829.20,3530.96341135,N,13932.71262471,E
1645151912.9284918,180222,023829.30,3530.96341364,N,13932.71261375,E
1645151913.029493,180222,023829.40,3530.96341364,N,13932.71261375,E
1645151913.1301382,180222,023829.50,3530.96341594,N,13932.71260343,E
1645151913.2301369,180222,023829.60,3530.96341594,N,13932.71260343,E
1645151913.3314507,180222,023829.70,3530.96341924,N,13932.71259210,E
1645151913.431276,180222,023829.80,3530.96341924,N,13932.71259210,E
1645151913.5328248,180222,023829.90,3530.96342281,N,13932.71258029,E
1645151913.6324875,180222,023830.00,3530.96342281,N,13932.71258029,E
1645151913.7335324,180222,023830.10,3530.96342281,N,13932.71258029,E
1645151913.8338187,180222,023830.20,3530.96342542,N,13932.71257083,E
1645151913.9348023,180222,023830.30,3530.96342856,N,13932.71256092,E
1645151914.0267966,180222,023830.40,3530.96342856,N,13932.71256092,E
1645151914.1271162,180222,023830.50,3530.96343243,N,13932.71254978,E
1645151914.2271152,180222,023830.60,3530.96343243,N,13932.71254978,E
1645151914.3284676,180222,023830.70,3530.96343571,N,13932.71253964,E
1645151914.4284508,180222,023830.80,3530.96343571,N,13932.71253964,E
1645151914.5294387,180222,023830.90,3530.96343855,N,13932.71253078,E
1645151914.629815,180222,023831.00,3530.96343855,N,13932.71253078,E
1645151914.730816,180222,023831.10,3530.96343855,N,13932.71253078,E
1645151914.8308978,180222,023831.20,3530.96344152,N,13932.71252319,E
1645151914.9318986,180222,023831.30,3530.96344412,N,13932.71251459,E
1645151915.031898,180222,023831.40,3530.96344412,N,13932.71251459,E
1645151915.1327257,180222,023831.50,3530.96344768,N,13932.71250658,E
1645151915.2337263,180222,023831.60,3530.96344768,N,13932.71250658,E
1645151915.3347263,180222,023831.70,3530.96345070,N,13932.71250239,E
1645151915.434726,180222,023831.80,3530.96345070,N,13932.71250239,E
1645151915.525728,180222,023831.90,3530.96345399,N,13932.71249625,E
1645151915.6268475,180222,023832.00,3530.96345399,N,13932.71249625,E
1645151915.7278473,180222,023832.10,3530.96345399,N,13932.71249625,E
1645151915.8279312,180222,023832.20,3530.96345431,N,13932.71249313,E
1645151915.9283774,180222,023832.30,3530.96344915,N,13932.71249500,E
1645151916.028377,180222,023832.40,3530.96344915,N,13932.71249500,E
1645151916.1298308,180222,023832.50,3530.96344411,N,13932.71249642,E
1645151916.2293,180222,023832.60,3530.96344411,N,13932.71249642,E
1645151916.3302999,180222,023832.70,3530.96344530,N,13932.71249339,E
